,tag_1,tag_2,score
598,reggae,90s,0.0153993928406
599,rhythm and blues,90s,0.0411401102321
600,riot grrrl,90s,0.0657973124934
601,rnb,90s,0.400518978727
602,rock,90s,28.5569777242
603,rock n roll,90s,0.00808740167594
604,romantic,90s,0.0264046781672
605,scandinavian,90s,0.00765954052322
606,scotland,90s,0.0361030789158
607,seattle,90s,0.0844098904764
608,sexy,90s,0.155422340999
609,shoegaze,90s,0.0732990432188
610,singer-songwriter,90s,0.932975407879
611,ska,90s,0.128193148412
612,ska punk,90s,0.0618151183405
613,soft rock,90s,0.247405034173
614,soul,90s,0.622006520192
615,swedish,90s,0.0119245155569
616,synth pop,90s,0.0124442909356
617,synthpop,90s,0.0102316357556
618,techno,90s,0.00382417151167
619,trip hop,90s,0.00373278572147
620,trip-hop,90s,0.005166538309
621,urban,90s,0.0530085966328
622,welsh,90s,0.0507300650582
623,west coast,90s,0.0111850380906
624,00s,Acoustic Rock,0.0198167092149
625,90s,Acoustic Rock,0.00729405460868
626,Jam,Acoustic Rock,4.708734689
627,Love,Acoustic Rock,0.0548957315362
628,Mellow,Acoustic Rock,0.209508611897
629,acoustic,Acoustic Rock,3.9405415627
630,alternative,Acoustic Rock,0.442202565738
631,alternative rock,Acoustic Rock,0.264371457451
632,american,Acoustic Rock,0.0587372323583
633,blues,Acoustic Rock,0.0784652728126
634,chill,Acoustic Rock,0.806577105006
635,chillout,Acoustic Rock,0.0377620790217
636,favorites,Acoustic Rock,0.122355251347
637,folk,Acoustic Rock,0.220152369573
638,folk rock,Acoustic Rock,0.0200685986066
639,guitar,Acoustic Rock,0.124533159848
640,indie,Acoustic Rock,0.201726203343
641,indie rock,Acoustic Rock,0.0213494559511
642,jazz,Acoustic Rock,0.0111077778239
643,john mayer,Acoustic Rock,0.899456758412
644,male vocalists,Acoustic Rock,0.224573808879
645,pop,Acoustic Rock,0.27635577613
646,pop rock,Acoustic Rock,0.0472108332307
647,rock,Acoustic Rock,0.756485673853
648,singer-songwriter,Acoustic Rock,1.26330275247
649,soft rock,Acoustic Rock,0.0162217381713
650,soul,Acoustic Rock,0.00404227734512
651,00s,All,0.0140709370289
652,10s,All,0.453828799943
653,2010s,All,0.169071765127
654,2014,All,0.076656017814
655,Alt-country,All,0.00408455506193
656,Brostep,All,0.042477780225
657,California,All,0.0739857418199
658,Canadian,All,0.00333558220876
659,Classical,All,0.00785490854445
660,Disco,All,0.0190390798624
661,Dreamy,All,0.218561255391
662,Drum and bass,All,0.180059882699
663,EDM,All,0.408727839791
664,Hip-Hop,All,0.2513484121
665,House,All,0.896434821831
666,Like,All,0.295329801141
667,Lo-Fi,All,0.0151620043834
668,Mellow,All,0.00432820122872
669,Neo-Soul,All,0.0117226622987
670,New band of the day,All,0.227985570223
671,Progressive House,All,0.137720386791
672,Soundtrack,All,0.137591528653
673,UK,All,0.0653898467203
674,UK Garage,All,0.0308398150234
675,UK artist,All,0.130277468699
676,USA,All,0.131986519769
677,United Kingdom,All,0.107172888272
678,United States,All,0.101664505129
679,West Coast Rap,All,0.0242392672474
680,acoustic,All,0.165443040458
681,alternative,All,0.614766621596
682,alternative hip-hop,All,0.0204227753097
683,alternative pop,All,0.0486374583367
684,alternative rnb,All,0.0188593262814
685,alternative rock,All,0.0177370668701
686,ambient,All,0.056183084943
687,american,All,0.591963075663
688,art pop,All,0.0223215596641
689,big room house,All,0.500337411502
690,breakbeat,All,0.0220938397208
691,british,All,0.267530462808
692,chamber pop,All,0.028953464548
693,check out,All,0.044976745146
694,chill,All,0.00580658737055
695,chillout,All,0.0256570718011
696,chillwave,All,0.0142131642132
697,complextro,All,0.068525475646
698,country,All,0.00854333067743
699,dance,All,0.309858189642
700,deep house,All,0.656273464447
701,downtempo,All,0.0133616011377
702,dream pop,All,0.0691376346213
703,dubstep,All,0.584124828887
704,dutch,All,0.466943217014
705,electro,All,0.744099712438
706,electro house,All,0.13540151134
707,electronic,All,1.92571718581
708,electronica,All,0.561233450457
709,electropop,All,0.0666565761707
710,emo,All,0.00972503276773
711,england,All,0.0524891760942
712,english,All,0.0662844151325
713,eurosonic 2015,All,0.0904195072839
714,experimental,All,0.106608423517
715,female vocalist,All,0.0163464981477
716,female vocalists,All,0.084146366273
717,folk,All,0.202538584686
718,folk pop,All,0.0939336387657
719,folk rock,All,0.0242609416737
720,funk,All,0.092741899332
721,funky,All,0.134716987571
722,future house,All,0.256724598378
723,garage,All,0.0317495977819
724,green man 2014,All,0.085121489279
725,groovy,All,0.073477587789
726,hardcore,All,0.0189312681618
727,hip hop,All,0.105823679912
728,hipster rap,All,0.251624854395
729,indie,All,0.82201214085
730,indie folk,All,0.272369738695
731,indie pop,All,0.756521035254
732,indie rock,All,0.0656941271468
733,indietronica,All,0.0252957210433
734,instrumental,All,0.00634167672567
735,jazz,All,0.041475857849
736,jecks,All,0.0993505163722
737,london,All,0.141760086473
738,los angeles,All,0.345920951885
739,male vocalists,All,0.325338940139
740,metal,All,0.00587987558112
741,metalcore,All,0.0101443513928
742,minimal,All,0.00844391000825
743,mistagged artist,All,4.37521477276
744,moombahton,All,0.0697792246592
745,mysterious,All,9.96002296745
746,new wave,All,0.00304455230994
747,piano,All,0.00296782921623
