,tag_1,tag_2,count,number_of_pairs_x,number_of_pairs_y,totalPairs,pair_percent_of_total,pair_percent_of_x,pair_percent_of_y,perc_x_y_sum,score
158,indie rock,2010s,55,56197,2632,2435982,2.25781635496e-05,0.000978699930601,0.020896656535,0.0218753564656,0.0461758582999
159,jazz,2010s,15,12377,2632,2435982,6.15768096809e-06,0.0012119253454,0.0056990881459,0.0069110134913,0.00425302980667
160,los angeles,2010s,15,1484,2632,2435982,6.15768096809e-06,0.0101078167116,0.0056990881459,0.0158069048575,0.0354715295938
161,male vocalists,2010s,54,24312,2632,2435982,2.21676514851e-05,0.00222112537019,0.0205167173252,0.0227378426954,0.101018434194
162,new york,2010s,18,3955,2632,2435982,7.3892171617e-06,0.00455120101138,0.00683890577508,0.0113901067865,0.0229991119739
163,ontario,2010s,19,187,2632,2435982,7.79972922624e-06,0.101604278075,0.0072188449848,0.10882312306,0.572083255586
164,piano,2010s,30,8911,2632,2435982,1.23153619362e-05,0.00336662551902,0.0113981762918,0.0147648018108,0.0472582201029
165,pop,2010s,126,92415,2632,2435982,5.17245201319e-05,0.00136341503003,0.0478723404255,0.0492357554556,0.33760526251
166,pop rock,2010s,32,14456,2632,2435982,1.31363860653e-05,0.00221361372441,0.0121580547112,0.0143716684357,0.0353542668488
167,power pop,2010s,36,2430,2632,2435982,1.47784343234e-05,0.0148148148148,0.0136778115502,0.028492626365,0.299461688418
168,private:watchlist,2010s,15,246,2632,2435982,6.15768096809e-06,0.0609756097561,0.0056990881459,0.066674697902,0.21398272324
169,r&b,2010s,23,7973,2632,2435982,9.4417774844e-06,0.00288473598395,0.00873860182371,0.0116233378077,0.023801360601
170,rnb,2010s,28,20299,2632,2435982,1.14943378071e-05,0.0013793782945,0.0106382978723,0.0120176761668,0.0168670639157
171,rock,2010s,94,129905,2632,2435982,3.85881340667e-05,0.000723605711866,0.0357142857143,0.0364378914262,0.099723550789
172,sexy,2010s,15,4616,2632,2435982,6.15768096809e-06,0.00324956672444,0.0056990881459,0.00894865487033,0.0114037586476
173,singer-songwriter,2010s,99,53297,2632,2435982,4.06406943894e-05,0.00185751543239,0.0376139817629,0.0394714971953,0.283950645293
174,someone special to me made me discover,2010s,16,755,2632,2435982,6.56819303263e-06,0.0211920529801,0.00607902735562,0.0272710803358,0.0846161062195
175,soul,2010s,42,28355,2632,2435982,1.72415067106e-05,0.00148122024334,0.0159574468085,0.0174386670519,0.0407528756897
176,summer,2010s,17,606,2632,2435982,6.97870509716e-06,0.0280528052805,0.00645896656535,0.0345117718459,0.126448645077
177,synthpop,2010s,20,12933,2632,2435982,8.21024129078e-06,0.00154643160906,0.00759878419453,0.00914521580359,0.00964785459733
178,toronto,2010s,38,825,2632,2435982,1.55994584525e-05,0.0460606060606,0.0144376899696,0.0604982960302,1.0373776368
179,00s,70s,17,15036,13876,2435982,6.97870509716e-06,0.0011306198457,0.00122513692707,0.00235575677277,0.000966665192871
180,60s,70s,255,9567,13876,2435982,0.000104680576457,0.0266541235497,0.018377053906,0.0450311774557,5.12750864535
181,80's,70s,20,484,13876,2435982,8.21024129078e-06,0.0413223140496,0.00144133756126,0.0427636516108,0.0488997072702
182,80s,70s,616,24769,13876,2435982,0.000252875431756,0.0248697969236,0.0443931968867,0.0692629938103,27.9187067671
183,90s,70s,81,15714,13876,2435982,3.32514772277e-05,0.00515463917526,0.00583741712309,0.0109920562983,0.100052960071
184,AOR,70s,25,601,13876,2435982,1.02628016135e-05,0.0415973377704,0.00180167195157,0.043399009722,0.0769143170197
185,Acid Rock,70s,24,312,13876,2435982,9.85228954894e-06,0.0769230769231,0.00172960507351,0.0786526819966,0.131081307612
186,Avant-Garde,70s,27,2114,13876,2435982,1.10838257426e-05,0.0127719962157,0.0019458057077,0.0147178019234,0.0275453277015
187,Blue-Eyed Soul,70s,20,526,13876,2435982,8.21024129078e-06,0.0380228136882,0.00144133756126,0.0394641512495,0.0449951679064
188,California,70s,19,3430,13876,2435982,7.79972922624e-06,0.00553935860058,0.00136927068319,0.00690862928378,0.00591600206299
189,Canadian,70s,33,9510,13876,2435982,1.35468981298e-05,0.00347003154574,0.00237820697607,0.00584823852182,0.0111795143218
190,Classic Punk,70s,18,89,13876,2435982,7.3892171617e-06,0.202247191011,0.00129720380513,0.203544394816,0.193860417016
191,Disco,70s,247,3611,13876,2435982,0.000101396479941,0.0684021046801,0.0178005188815,0.0862026235617,12.3459639729
192,Experimental Rock,70s,24,2329,13876,2435982,9.85228954894e-06,0.0103048518678,0.00172960507351,0.0120344569413,0.0175600549484
